"","Cruise","Station","Type","mon.day.yr","hh.mm","Longitude","Latitude","WCDepth","SampleDepth","QF.0","TEMP","QF.1","PSAL","QF.2","DOXY.umol.l.","QF.3","DateTime"
"108605","ICES/26DAENQ400  ","3027","B","7/21/1994","07:59",9.9483,58.5883,410,153,0,5.76,0,35.058,0,NA,NA,1994-07-21 07:59:00
"2812154","ICES/29CSENQ516  ","0091","B","4/12/1995","01:51",-3.4948,44.3728,3819,1100,0,9.51,0,35.767,0,NA,NA,1995-04-12 01:51:00
"2371232","ICES/58AAENQ679l ","0033","B","1/27/2006","09:56",2.6552,60.8068,122,65,0,8.203,0,35.2454,0,NA,NA,2006-01-27 09:56:00
"3131451","ICES/74SCENQ716h ","0371","B","9/26/1994","14:15",4.5815,60.834,178,10,0,13.59,0,31.476,0,NA,NA,1994-09-26 14:15:00
"2408120","ICES/58AAENQ679q ","0331","B","3/13/2007","07:58",7.3987,61.1845,248,65,0,8.977,0,34.554,0,NA,NA,2007-03-13 07:58:00
"2706610","ICES/68CAOME620e ","9896","B","5/27/1999","07:02",-9.22980000000001,41.0017,147,81,0,13.2315,0,35.7945,0,NA,NA,1999-05-27 07:02:00
"2883187","ICES/77AR        ","0745","B","10/3/1990","19:37",13.7117,54.955,46,10,0,12.91,0,7.994,0,NA,NA,1990-10-03 19:37:00
"2111805","ICES/58GDENQ611b ","0188","B","5/15/1999","13:00",9.4667,57.9333,175,150,0,6.681,0,35.183,0,287.17,0,1999-05-15 13:00:00
"1627976","ICES/48UDENQENQ82","0039","B","2/14/1993","00:00",12.775,45.125,31,20.6,0,9.324,0,37.684,0,NA,NA,1993-02-14 00:00:00
"1299513","ICES/06AKENQ594b ","0778","B","5/30/2004","10:42",15.75,55.292,94,65,0,5.341,0,15.176,0,126.84,0,2004-05-30 10:42:00
"802619","ICES/35TTENQ630d4","22D0","B","2/22/2000","12:05",7.85,43.4137,0,94,0,13.08,0,38.43,0,NA,NA,2000-02-22 12:05:00
"1365142","ICES/07PEENQ710ai","0179","B","7/29/2007","02:33",14.249,55.1663,47,5,0,16.13,0,7.275,0,299.23,0,2007-07-29 02:33:00
"1630005","ICES/48UDENQENQ82","0125","B","5/3/1993","00:00",12.533,45.125,25,11,0,11.19,0,37.05,0,NA,NA,1993-05-03 00:00:00
"36893","ICES/26DA        ","3514","B","8/22/1991","11:53",7.685,57.435,130,17,0,15.56,0,32.585,0,NA,NA,1991-08-22 11:53:00
"2708290","ICES/6899ENQ839a ","0021","B","1/22/2000","02:36",-7.66829999999999,36.905,687,400.6,0,14.313,0,36.292,0,NA,NA,2000-01-22 02:36:00
"280638","ICES/26MHENQ1047 ","0025","B","2/23/2002","07:47",-8.71780000000001,61.0322,102,10,0,7.6618,0,35.2466,0,NA,NA,2002-02-23 07:47:00
"2828185","ICES/29DBENQ82400","00CF","B","1/21/1997","11:40",-5.35919999999999,35.9493,670,36,0,16.9039,0,36.4305,0,NA,NA,1997-01-21 11:40:00
"276380","ICES/26wzENQ503i ","0758","B","1/9/2001","08:36",11.1563,56.1305,43,1,0,4.74,0,22.7,0,350.14,0,2001-01-09 08:36:00
"860230","ICES/35HTENQ630e0","0555","B","11/27/2003","07:15",-8.096,49.9583,125,65,0,11.671,0,35.394,0,NA,NA,2003-11-27 07:15:00
"1065141","ICES/06POENQ710  ","0022","B","2/23/1992","02:47",4.9645,42.113,2453,70,0,12.867,0,38.46,0,NA,NA,1992-02-23 02:47:00
"2966341","ICES/77SNENQ719ai","0012","B","1/9/2002","08:30",11.6267,58.393,72,30,0,7.28,0,33.06,0,252.33,0,2002-01-09 08:30:00
"2227018","ICES/58MSENQ679f ","1239","B","11/15/2001","21:58",5.5798,61.9095,578,500,0,7.543,0,34.8294,0,NA,NA,2001-11-15 21:58:00
"114859","ICES/26DAENQ400  ","6114","B","12/9/1994","18:29",-7.87670000000003,59.89,615,11,0,9.45,0,35.332,0,NA,NA,1994-12-09 18:29:00
"3447892","ICES/74SCENQ716ac","0200","B","5/10/2008","20:55",-2.66699999999997,61.2333,1074,100,0,8.81,0,35.363,0,NA,NA,2008-05-10 20:55:00
"230484","ICES/26MHENQ1047 ","0053","B","5/4/1999","23:04",-4.39999999999998,61.3333,1076,160,0,6.4519,0,35.1764,0,NA,NA,1999-05-04 23:04:00
"3252973","ICES/74CZJMP512j ","0006","B","1/30/1998","19:26",2.3335,51.9965,48,15,0,9.045,0,35.293,0,NA,NA,1998-01-30 19:26:00
"2221397","ICES/58MSENQ679e ","0934","B","7/9/2001","20:19",2.977,57.6702,65,20,0,13.232,0,34.8889,0,NA,NA,2001-07-09 20:19:00
"3394172","ICES/74CUENQ716u ","0294","B","6/14/2005","14:27",-6.19749999999999,56.353,74,30,0,10.35,0,34.117,0,NA,NA,2005-06-14 14:27:00
